@
/L
0,0,17
0,9,17
1,0,17
1,9,17
2,0,17
2,9,17
3,0,17
3,9,17
4,0,17
4,9,17
5,0,17
5,9,17
6,0,17
6,9,17
7,0,17
7,9,17
8,0,17
8,9,17
9,0,17
9,9,17
10,0,17
10,9,17
11,0,17
11,9,17
12,0,17
12,9,17
13,0,17
13,9,17
14,0,17
14,9,17
15,0,17
15,9,17
16,0,17
16,9,17
17,0,17
17,9,17
18,0,17
18,9,17
0,0,17
18,0,17
19,0,1
0,1,17
18,1,17
19,1,1
0,2,17
18,2,17
19,2,1
0,3,17
18,3,17
19,3,1
0,4,17
18,4,17
19,4,1
0,5,17
18,5,17
19,5,1
0,6,17
18,6,17
19,6,1
0,7,17
18,7,17
19,7,1
0,8,17
18,8,17
19,8,1
0,9,17
18,9,17
19,9,1
3,3,17
7,3,17
11,3,17
15,3,17
1,5,17
5,5,17
9,5,17
13,5,17
17,5,17
4,7,17
5,7,17
6,7,17
7,7,17
11,7,17
12,7,17
13,7,17
14,7,17
15,7,17
16,7,17
11,8,17
3,2,47
7,2,47
15,2,47
1,4,47
5,4,47
9,4,47
13,4,47
17,4,47
1,6,47,
7,6,47
1,1,48,
17,1,49,
11,2,10,
12,8,2
1,8,15
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,0,1
88,0,1
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
_
/M
0
_
/P
2,8
__
@
/L
0,0,17
1,0,17
2,0,17
3,0,17
4,0,17
5,0,17
6,0,17
7,0,17
8,0,17
9,0,17
10,0,17
11,0,17
12,0,17
13,0,17
14,0,17
15,0,17
16,0,17
17,0,17
18,0,17
19,0,17
20,0,17
21,0,17
22,0,17
23,0,17
24,0,17
25,0,17
26,0,17
27,0,17
28,0,17
29,0,17
30,0,17
31,0,17
32,0,17
33,0,17
34,0,17
35,0,17
36,0,17
37,0,17
38,0,17
39,0,17
40,0,17
41,0,17
42,0,17
43,0,17
44,0,17
45,0,17
46,0,17
47,0,17
48,0,17
49,0,17
0,1,17
0,2,17
0,3,17
0,4,17
0,5,17
0,6,17
0,7,17
0,8,17
0,9,17
1,9,17
2,9,17
3,9,6
4,9,6
5,9,6
6,9,6
7,9,6
8,9,6
10,9,6
11,9,6
12,9,6
13,9,6
9,5,17
9,6,17
9,7,17
9,8,17
9,9,17
14,4,17
14,5,17
14,6,17
14,7,17
14,8,17
14,9,17
15,9,36
16,9,36
17,9,36
18,9,36
19,9,36
20,9,36
21,9,36
22,4,17
22,5,17
22,6,17
22,7,17
22,8,17
22,9,17
23,4,17
23,3,17
24,3,17
24,2,17
25,2,17
26,2,17
27,2,17
28,2,17
22,9,17
23,9,17
24,9,17
25,9,17
26,9,17
27,9,17
28,9,17
29,9,17
30,9,17
31,9,17
32,9,17
33,9,17
34,9,17
35,9,17
36,9,17
37,9,17
30,1,17
30,2,17
30,3,17
30,4,17
31,1,17
31,2,17
31,3,17
31,4,17
24,6,17
24,7,17
25,5,17
26,5,17
26,4,17
26,7,17
26,8,17
27,4,17
27,7,17
28,4,17
29,4,17
29,5,17
29,6,17
29,7,17
31,7,17
32,6,17
32,7,17
32,8,17
32,4,17
33,4,17
34,4,17
34,5,17
34,6,17
35,8,17
36,6,17
37,2,17
37,3,17
37,4,17
37,5,17
37,6,17
37,7,17
37,8,17
37,9,17
33,2,17
34,2,17
35,2,17
36,2,17
37,2,17
38,2,17
39,2,17
40,2,17
41,2,17
42,2,17
43,2,17
44,2,17
45,2,17
46,2,17
47,2,17
48,2,17
49,2,17
48,1,17
49,1,17
47,1,2
1,3,30
2,5,30
3,5,30
4,3,30
4,7,30
5,7,30
6,7,30
8,4,30
9,4,30
10,4,30
11,6,30
13,3,30
13,8,30
16,5,30
17,5,30
18,5,30
19,5,30
20,5,30
38,3,25
38,4,25
38,5,25
38,6,25
38,7,25
39,3,25
39,5,25
40,3,25
40,4,25
40,5,25
40,6,25
40,7,25
41,4,25
41,5,25
41,6,25
42,3,25
43,3,25
42,7,25
43,7,25
38,9,6
39,9,6
40,9,6
41,9,6
42,9,6
43,9,6
44,9,6
45,9,6
46,9,6
47,9,6
48,9,6
49,9,6
1,1,49
7,1,47
8,7,49
10,8,47
16,7,47
17,7,47
18,7,47
19,7,47
20,7,47
20,1,48
27,8,48
28,5,48
31,8,48
36,8,48
13,5,10
_
/P
1,8
__
$
